"","Site_ID","Gravimetric Moisture","Date","Top","Bottom","Mid_depth","ProbeType","TopSensorDepth","Sensor","SOC","Sand","Silt","Clay","EC","BD","Theta"
"1046","Fair",0.077655379,"2019-04-10","80","90",85,"Sentek",25,7,0.241858312473545,28.6726535910359,29.3323245922103,45.609544937172,0.0997199156773732,1.75136152288965,0.136002642826013
"1050","DinT",0.245473783,"2019-04-10","20","30",25,"Sentek",30,1,0.281490118531597,33.3116099120161,17.9781799157865,49.9505560487975,0.598939797894182,1.1779278854,0.289150414130328
"1051","DinT",0.263283741,"2019-04-10","30","40",35,"Sentek",30,2,0.450658927932398,31.9946181820059,24.8462125863287,45.0424999041674,0.512894073574598,1.2172732767,0.320488262108904
"1052","DinT",0.205635649,"2019-04-10","40","50",45,"Sentek",30,3,0.289492953955753,45.1961505066703,29.682463200678,28.2387868820303,0.467334417012503,1.7228423617943,0.354277807192264
"1053","DinT",0.166646482,"2019-04-10","50","60",55,"Sentek",30,4,0.1206724349636,52.4741547938837,31.1383948723108,20.2603693361541,0.407211513566123,1.77610976886478,0.295982444627149
"1054","DinT",0.113469985,"2019-04-10","60","70",65,"Sentek",30,5,0.105776672960867,52.8770449959476,29.2326831018927,21.9867204472515,0.334654299369721,1.75023154175373,0.198598746789323
"1055","DinT",0.104676105,"2019-04-10","70","80",75,"Sentek",30,6,0.13403484843676,52.6705096222642,26.2730456250911,25.0330979408849,0.396420328028285,1.72396972060304,0.180458435490664
"1059","Din",0.148717022,"2019-04-10","10","20",15,"Mait",20,1,1.377470848455,27.4845083271036,27.7975265650674,44.7866844865759,0.604271097173589,1.5406051481,0.229114209703301
"1060","Din",0.169063647,"2019-04-10","20","30",25,"Mait",20,2,0.989281959930359,23.6193658938158,24.4934110976219,51.0112707777507,0.782116990498878,1.5599388985,0.263728959277573
"1062","Din",0.143105951,"2019-04-10","40","50",45,"Mait",20,3,0.686594769197884,22.5336729457177,22.903379942982,53.5081479421595,0.802397300253809,1.52601887447534,0.218382382275743
"1064","Din",0.147821366,"2019-04-10","60","70",65,"Mait",20,4,0.535873711021183,23.2347892246078,22.6066406217968,53.5918366642464,0.685871878952026,1.66511244759455,0.24613919654703
"1066","Din",0.145924924,"2019-04-10","80","90",85,"Mait",20,5,0.432608947824413,23.896364263754,22.4475986028468,53.5157935511421,0.585370808037233,1.77873965044877,0.259562448307524
"9","Braw02",0.141832963784183,"2020-03-19","39","44",41.5,"Sentek",30,2,0.166530304136877,38.6376843786791,29.861303819071,31.6407289459669,0.414542743797032,1.4860906998,0.210776648404745
"10","Braw02",0.16815496634153,"2020-03-19","56.5","61.5",59,"Sentek",30,4,0.186400754673879,43.1161799618634,16.1410641254892,40.3505059175266,0.879404497623931,1.62644654761142,0.273495064469897
"14","Braw03",0.135850667968035,"2020-03-19","39.5","44.5",42,"Sentek",30,2,0.25512651232303,40.8426117324651,23.1450867046244,36.7857636696557,0.329696208512813,1.7033460745,0.231400702001556
"15","Braw03",0.14261744966443,"2020-03-19","57.5","62.5",60,"Sentek",30,4,0.282697179979135,31.6464165941304,18.9824809605792,49.9179595991356,0.338033172467857,1.59131304002467,0.226949007386069
"18","Kurr",0.078900130548303,"2020-03-18","21","26",23.5,"Mait",20,1,0.355278312684658,34.2468191697827,22.0483603961434,43.4694788430832,0.463328907405696,1.5834428755,0.12493384959273
"23","GlenWav",0.238467083133109,"2020-03-18","24","29",26.5,"Mait",20,2,1.09923389489908,29.6144698289568,18.8989066293555,51.7560622718176,0.479649991273158,1.8154065713,0.432914709758589
"28","GlenMid",0.218361218361218,"2020-03-18","40","45",42.5,"Sentek",35,2,0.489490694512386,18.4370296248732,9.20125849781392,70.8300233719427,0.394504332758777,1.7945253956,0.391854751763363
"29","GlenMid",0.230885760114062,"2020-03-18","54","59",56.5,"Sentek",35,3,0.411127880468149,14.1178120109842,7.91268542048053,76.2542829625827,0.418170515780121,1.39399166969829,0.32185282625096
"32","GlenTop",0.203337783711616,"2020-03-18","21","26",23.5,"Sentek",25,1,0.439987180592897,55.0482219383034,20.2930067271359,27.0531665192188,0.110560898729438,1.6532161075,0.336161299295394
"33","GlenTop",0.132892431179696,"2020-03-18","40","45",42.5,"Sentek",25,3,0.237307117762335,56.4864282633228,19.5143985784095,26.8808339594696,0.131142681447572,1.73077808435101,0.230007307461942
"34","GlenTop",0.10897954466659,"2020-03-18","58","63",60.5,"Sentek",25,5,0.183938562044319,65.630422059797,17.1016044841696,20.8294837647293,0.115563099822073,1.73846631203157,0.189457267103406
"37","Fair",0.0776025610623666,"2020-03-18","22","27",24.5,"Sentek",25,1,0.456952636169799,51.8377084688096,30.0288642806964,20.1403094333654,0.476702209370252,1.4248358293,0.110570909447101
"38","Fair",0.119191659158193,"2020-03-18","39","44",41.5,"Sentek",25,3,0.409606224310785,28.2184832632213,19.5633105469235,54.3040708855356,0.242667850121304,1.47470443232812,0.175772468057129
"39","Fair",0.122391796828425,"2020-03-18","57","62",59.5,"Sentek",25,5,0.265737463602346,20.3055023717082,20.9847690933477,61.366214104403,0.1106232579211,1.51376183687481,0.185272031185405
"43","Yarr",0.134804270462633,"2020-03-17","47","52",49.5,"Sentek",30,3,0.266915142741015,31.8525882028502,21.9349498471113,45.8356744903371,0.411554962973186,1.58039692598883,0.213044254649313
"44","Yarr",0.121859797432012,"2020-03-17","53","58",55.5,"Sentek",30,4,0.286424584035201,27.7158467869912,21.2612708592274,50.6073817933878,0.463764511353576,1.57400058482708,0.191807392424896
"45","Yarr",0.125871908687381,"2020-03-17","58","63",60.5,"Sentek",30,4,0.286424584035201,27.7158467869912,21.2612708592274,50.6073817933878,0.463764511353576,1.60002099528287,0.201397696616138
"49","YarrN",0.137322282865036,"2020-03-17","39.5","44.5",42,"Sentek",30,2,0.973816938542084,39.0810130064664,25.2953446396862,35.7311545237733,0.551007547596283,1.3403023497,0.184053378390176
"50","YarrN",0.116394716394716,"2020-03-17","55","60",57.5,"Sentek",30,4,0.32735167824612,36.7545218229537,13.6527064952239,49.5094158612807,0.771145372948975,1.5781959047441,0.183693664747992
"54","GlenNew",0.079422869471413,"2020-03-16","40","45",42.5,"Sentek",30,2,0.425533071563829,33.4194999591587,32.6487685290782,33.2737126216498,0.495748794181837,1.6458682446,0.130719578758009
"55","GlenNew",0.13955044153064,"2020-03-16","55","60",57.5,"Sentek",30,4,0.371425531945981,27.3903974374971,23.8521252132179,47.9420224353889,0.321519375732973,1.62331720090052,0.226534632129949
"58","Dais",0.118819444444444,"2020-03-16","25","30",27.5,"Sentek",30,1,0.39796465989979,45.1224570396595,24.6556632768407,32.091298511979,0.135955130453394,1.7697043681,0.210275289848548
"59","Dais",0.0958920539730136,"2020-03-16","40","45",42.5,"Sentek",30,2,0.408768609901873,40.8804475322365,24.0780708542238,37.0973726650589,0.140008928016777,1.9297574341,0.185048404025541
"60","Dais",0.106606705905694,"2020-03-16","55","60",57.5,"Sentek",30,4,0.30607228070422,46.6724956243679,25.9384525627989,29.715665081822,0.122308030630497,1.73195283343186,0.184637786356203
"69","DinT",0.206556269009801,"2020-03-17","40","45",42.5,"Sentek",30,2,0.450658927932398,31.9946181820059,24.8462125863287,45.0424999041674,0.512894073574598,1.2172732767,0.251435426400487
"70","DinT",0.121070825629069,"2020-03-17","55","60",57.5,"Sentek",30,4,0.1206724349636,52.4741547938837,31.1383948723108,20.2603693361541,0.407211513566123,1.77477922992945,0.214873986676882
"73","Din",0.15185685347738,"2020-03-17","21","26",23.5,"Mait",20,1,1.377470848455,27.4845083271036,27.7975265650674,44.7866844865759,0.604271097173589,1.5406051481,0.233951450241519
